,symbols
0,20MICRONS
1,21STCENMGM
2,3IINFOTECH
3,3PLAND
4,63MOONS
5,A2ZINFRA
6,AAKASH
7,AARON
8,AARVEEDEN
9,AARVI
10,ABAN
11,ABCAPITAL
12,ABFRL
13,ABMINTLTD
14,ACCURACY
15,ACE
16,ADANIPOWER
17,ADHUNIKIND
18,ADL
19,ADROITINFO
20,ADSL
21,ADVANIHOTR
22,AGRITECH
23,AGROPHOS
24,AHLADA
25,AHLEAST
26,AIRAN
27,AJMERA
28,AJOONI
29,AKG
30,AKSHOPTFBR
31,ALANKIT
32,ALEMBICLTD
33,ALKALI
34,ALLCARGO
35,ALOKINDS
36,ALPA
37,ALPSINDUS
38,AMBICAAGAR
39,AMDIND
40,AMJLAND
41,ANANTRAJ
42,ANDHRACEMT
43,ANIKINDS
44,ANKITMETAL
45,ANSALAPI
46,ANSALHSG
47,APOLLO
48,ARCHIDPLY
49,ARCHIES
50,ARENTERP
51,ARIES
52,ARIHANT
53,ARIHANTSUP
54,AROGRANITE
55,ARROWGREEN
56,ARSHIYA
57,ARSSINFRA
58,ARVEE
59,ARVIND
60,ARVINDFASN
61,ARVSMART
62,ASAL
63,ASHAPURMIN
64,ASHIANA
65,ASHIMASYN
66,ASHOKA
67,ASHOKLEY
68,ASIANHOTNR
69,ASIANTILES
70,ASPINWALL
71,ASTERDM
72,ASTRAMICRO
73,ASTRON
74,ATLANTA
75,ATULAUTO
76,AURIONPRO
77,AUSOMENT
78,AUTOIND
79,AVTNPL
80,AXISCADES
81,AYMSYNTEX
82,BAFNAPH
83,BAGFILMS
84,BAJAJHIND
85,BALAJITELE
86,BALKRISHNA
87,BALLARPUR
88,BALMLAWRIE
89,BALPHARMA
90,BANARBEADS
91,BANCOINDIA
92,BANG
93,BANKA
94,BANKBARODA
95,BANKINDIA
96,BANSWRAS
97,BARTRONICS
98,BASML
99,BCG
100,BCLIND
101,BCP
102,BEARDSELL
103,BEDMUTHA
104,BEL
105,BEPL
106,BGRENERGY
107,BHAGERIA
108,BHAGYANGR
109,BHAGYAPROP
110,BHANDARI
111,BHARATGEAR
112,BHARATWIRE
113,BHEL
114,BIGBLOC
115,BINDALAGRO
116,BIOFILCHEM
117,BIRLACABLE
118,BIRLAMONEY
119,BIRLATYRE
120,BLBLIMITED
121,BLISSGVS
122,BLKASHYAP
123,BLS
124,BODALCHEM
125,BOMDYEING
126,BPL
127,BRFL
128,BRNL
129,BROOKS
130,BSHSL
131,BSL
132,BURGERKING
133,BURNPUR
134,BVCL
135,BYKE
136,CALSOFT
137,CAMLINFINE
138,CANBK
139,CANDC
140,CAPACITE
141,CAPTRUST
142,CAREERP
143,CASTEXTECH
144,CASTROLIND
145,CCCL
146,CCHHL
147,CEBBCO
148,CELEBRITY
149,CENTEXT
150,CENTRALBK
151,CENTRUM
152,CEREBRAINT
153,CGPOWER
154,CHALET
155,CHEMFAB
156,CHENNPETRO
157,CINELINE
158,CINEVISTA
159,CLEDUCATE
160,CLSEL
161,CMICABLES
162,COALINDIA
163,COFFEEDAY
164,COMPINFO
165,COMPUSOFT
166,CONFIPET
167,CONSOFINVT
168,CORALFINAC
169,CORDSCABLE
170,COUNCODOS
171,COX&KINGS
172,CREATIVE
173,CREST
174,CTE
175,CUB
176,CUBEXTUB
177,CYBERMEDIA
178,CYBERTECH
179,DAAWAT
180,DALALSTCOM
181,DAMODARIND
182,DANGEE
183,DATAMATICS
184,DBCORP
185,DBREALTY
186,DBSTOCKBRO
187,DCAL
188,DCBBANK
189,DCM
190,DCMFINSERV
191,DCMNVL
192,DCW
193,DEEPENR
194,DEEPINDS
195,DELTACORP
196,DELTAMAGNT
197,DEN
198,DGCONTENT
199,DHANBANK
200,DHANI
201,DHARSUGAR
202,DHFL
203,DIGISPICE
204,DISHTV
205,DLINKINDIA
206,DNAMEDIA
207,DOLAT
208,DONEAR
209,DPABHUSHAN
210,DPSCLTD
211,DPWIRES
212,DSSL
213,DUCON
214,DVL
215,DWARKESH
216,EASTSILK
217,EASUNREYRL
218,EDELWEISS
219,EDUCOMP
220,EIHOTEL
221,EKC
222,ELECON
223,ELECTCAST
224,ELECTHERM
225,ELGIRUBCO
226,EMAMIPAP
227,EMAMIREAL
228,EMCO
229,EMKAY
230,EMMBI
231,ENERGYDEV
232,ENGINERSIN
233,ENIL
234,EQUITAS
235,EQUITASBNK
236,EROSMEDIA
237,ESSARSHPNG
238,ESTER
239,EXCEL
240,EXIDEIND
241,FACT
242,FCL
243,FCONSUMER
244,FCSSOFT
