,data
0,"('AARVEEDEN', '23.75')"
1,"('AIRAN', '22.60')"
2,"('ALANKIT', '16.00')"
3,"('ALOKINDS', '20.80')"
4,"('AMDIND', '19.30')"
5,"('ARIHANT', '19.50')"
6,"('ASHIMASYN', '19.40')"
7,"('BALKRISHNA', '22.45')"
8,"('BEDMUTHA', '23.50')"
9,"('BINDALAGRO', '17.80')"
10,"('BLKASHYAP', '17.60')"
11,"('BVCL', '21.00')"
12,"('BYKE', '20.85')"
13,"('CEBBCO', '21.10')"
14,"('CENTRALBK', '18.75')"
15,"('COMPINFO', '22.30')"
16,"('DBREALTY', '19.80')"
17,"('EROSMEDIA', '23.50')"
18,"('HATHWAY', '23.40')"
19,"('HBSL', '18.75')"
20,"('HTMEDIA', '21.90')"
21,"('INDBANK', '16.00')"
22,"('IOB', '17.25')"
23,"('IRFC', '23.20')"
24,"('ISMTLTD', '19.40')"
25,"('JAYNECOIND', '18.00')"
26,"('JBFIND', '19.20')"
27,"('JHS', '21.40')"
28,"('JISLJALEQS', '20.80')"
29,"('KCPSUGIND', '22.90')"
30,"('KECL', '20.20')"
31,"('KEERTI', '23.50')"
32,"('KMSUGAR', '19.85')"
33,"('MANAKALUCO', '17.25')"
34,"('MBLINFRA', '18.80')"
35,"('MEP', '17.95')"
36,"('MIRCELECTR', '17.50')"
37,"('MORARJEE', '17.40')"
38,"('MOTOGENFIN', '21.15')"
39,"('MRO-TEK', '24.05')"
40,"('MTNL', '17.45')"
41,"('MURUDCERA', '21.55')"
42,"('NAGREEKEXP', '20.30')"
43,"('NIBL', '21.45')"
44,"('NITCO', '21.05')"
45,"('OMINFRAL', '22.70')"
46,"('ORICONENT', '24.15')"
47,"('PCJEWELLER', '24.50')"
48,"('PDMJEPAPER', '23.40')"
49,"('PENIND', '20.80')"
50,"('PFS', '19.25')"
51,"('PROZONINTU', '19.60')"
52,"('PSB', '20.35')"
53,"('RADIOCITY', '24.90')"
54,"('RAJSREESUG', '23.60')"
55,"('RAMANEWS', '16.25')"
56,"('RANASUG', '16.35')"
57,"('RENUKA', '17.00')"
58,"('RTNINDIA', '16.30')"
59,"('RVHL', '16.95')"
60,"('SADBHIN', '21.65')"
61,"('SANGINITA', '23.35')"
62,"('SETCO', '18.40')"
63,"('SHIVAMAUTO', '21.00')"
64,"('SICAGEN', '20.10')"
65,"('SIL', '17.45')"
66,"('SILLYMONKS', '20.45')"
67,"('SUBCAPCITY', '18.55')"
68,"('SUVIDHAA', '21.05')"
69,"('TRIDENT', '17.10')"
70,"('TRIL', '23.20')"
71,"('VARDMNPOLY', '18.95')"
72,"('VASCONEQ', '16.65')"
73,"('WILLAMAGOR', '17.40')"
