,data
0,"('AMJLAND', '25.70')"
1,"('ANSALAPI', '5.95')"
2,"('ANSALHSG', '5.55')"
3,"('ARIHANTSUP', '70.00')"
4,"('AROGRANITE', '50.30')"
5,"('ARSSINFRA', '25.45')"
6,"('BANCOINDIA', '150.80')"
7,"('BASML', '70.65')"
8,"('BHEL', '70.80')"
9,"('CAMLINFINE', '170.35')"
10,"('CAPACITE', '204.50')"
11,"('CASTEXTECH', '0.85')"
12,"('CCCL', '0.30')"
13,"('CCHHL', '5.50')"
14,"('CELEBRITY', '5.50')"
15,"('CENTRUM', '40.05')"
16,"('CLSEL', '130.75')"
17,"('CYBERMEDIA', '10.60')"
18,"('DALALSTCOM', '0.80')"
19,"('DATAMATICS', '130.40')"
20,"('DHFL', '15.00')"
21,"('ELECON', '90.35')"
22,"('EMMBI', '100.55')"
23,"('ENERGYDEV', '10.00')"
24,"('FCSSOFT', '0.95')"
25,"('GAYAHWS', '0.70')"
26,"('GICRE', '202.05')"
27,"('GLOBAL', '50.00')"
28,"('GOLDTECH', '10.15')"
29,"('GOODLUCK', '100.00')"
30,"('GPTINFRA', '40.45')"
31,"('GTLINFRA', '0.75')"
32,"('HAVISHA', '0.80')"
33,"('HSCL', '50.05')"
34,"('HUBTOWN', '15.80')"
35,"('IMPEXFERRO', '0.90')"
36,"('INDLMETER', '15.30')"
37,"('INDRAMEDCO', '90.00')"
38,"('JAIBALAJI', '50.80')"
39,"('JAYSREETEA', '100.80')"
40,"('JETAIRWAYS', '90.25')"
41,"('JIKIND', '0.65')"
42,"('JIYAECO', '5.05')"
43,"('KAPSTON', '90.00')"
44,"('LAKPRE', '5.10')"
45,"('LOTUSEYE', '50.70')"
46,"('MADHUCON', '5.30')"
47,"('MAGADSUGAR', '190.25')"
48,"('MAHABANK', '25.55')"
49,"('MANAKCOAT', '15.75')"
50,"('MANAKSTEEL', '25.95')"
51,"('MANINDS', '100.25')"
52,"('MARATHON', '50.60')"
53,"('MCDHOLDING', '40.75')"
54,"('MCLEODRUSS', '25.90')"
55,"('NAHARCAP', '130.95')"
56,"('NECCLTD', '10.40')"
57,"('NIRAJ', '40.40')"
58,"('NITINFIRE', '0.60')"
59,"('NKIND', '25.60')"
60,"('ONEPOINT', '15.35')"
61,"('ORIENTABRA', '25.30')"
62,"('PARACABLES', '10.15')"
63,"('PATELENG', '15.00')"
64,"('PATSPINLTD', '5.85')"
65,"('PEARLPOLY', '15.10')"
66,"('PNC', '40.00')"
67,"('PONNIERODE', '202.20')"
68,"('PRADIP', '0.90')"
69,"('PRAKASH', '90.85')"
70,"('PRESSMN', '25.80')"
71,"('PRIMESECU', '40.60')"
72,"('RAJRAYON', '0.25')"
73,"('RICOAUTO', '40.70')"
74,"('ROLTA', '5.00')"
75,"('SAIL', '130.65')"
76,"('SALZERELEC', '130.80')"
77,"('SANWARIA', '0.65')"
78,"('SASTASUNDR', '200.00')"
79,"('SEPOWER', '5.65')"
80,"('SETUINFRA', '0.90')"
81,"('SHRIRAMEPC', '5.70')"
82,"('SMPL', '0.30')"
83,"('SORILINFRA', '130.45')"
84,"('SOUTHBANK', '10.80')"
85,"('SPAL', '203.00')"
86,"('SUZLON', '5.55')"
87,"('TANTIACONS', '10.00')"
88,"('TATAMTRDVR', '150.60')"
89,"('TBZ', '70.65')"
90,"('TEXINFRA', '70.65')"
91,"('THEINVEST', '100.90')"
92,"('TNTELE', '5.45')"
93,"('UNIVPHOTO', '190.00')"
94,"('VAKRANGEE', '50.95')"
95,"('VIJIFIN', '0.95')"
96,"('VIKASWSP', '5.80')"
97,"('VIVIDHA', '0.75')"
98,"('WSI', '5.25')"
99,"('WSTCSTPAPR', '200.10')"
100,"('YAARII', '100.00')"
