,symbol,price,change,pchange
0,20MICRONS,65.50,10.90,19
1,AJOONI,56.00,2.25,4
2,ANANTRAJ,55.35,2.60,4
3,ASIANHOTNR,70.80,4.30,6
4,AVTNPL,58.70,3.70,6
5,BALAJITELE,61.95,6.10,10
6,CONFIPET,65.20,2.35,3
7,GUJRAFFIA,64.45,2.50,4
8,HOVS,54.05,2.55,4
9,KEYFINSERV,61.00,3.80,6
10,LYKALABS,57.55,2.70,4
11,MADHAV,58.20,5.70,10
12,MENONBE,60.95,2.85,4
13,NFL,69.55,3.90,5
14,ORBTEXP,72.00,3.20,4
15,PRECAM,57.00,2.30,4
16,RKEC,64.80,3.30,5
17,SADBHAV,69.35,3.10,4
18,SKIPPER,62.30,3.50,5
19,THOMASCOOK,54.40,1.80,3
