,data
0,"('ABAN', '34.80')"
1,"('ADHUNIKIND', '28.50')"
2,"('ADL', '31.20')"
3,"('AKG', '27.55')"
4,"('AMBICAAGAR', '31.00')"
5,"('ARCHIDPLY', '34.05')"
6,"('ARSHIYA', '29.75')"
7,"('ASAL', '38.25')"
8,"('AUTOIND', '34.90')"
9,"('BANG', '31.25')"
10,"('BHAGYAPROP', '28.45')"
11,"('BIRLATYRE', '30.50')"
12,"('BPL', '37.00')"
13,"('BRNL', '30.30')"
14,"('CINELINE', '35.60')"
15,"('COFFEEDAY', '27.10')"
16,"('CORALFINAC', '27.80')"
17,"('CTE', '29.85')"
18,"('CUBEXTUB', '30.50')"
19,"('DAMODARIND', '30.25')"
20,"('DCM', '29.30')"
21,"('DCW', '38.70')"
22,"('DELTAMAGNT', '30.00')"
23,"('DONEAR', '36.65')"
24,"('ELECTCAST', '33.45')"
25,"('ELGIRUBCO', '36.20')"
26,"('FLEXITUFF', '27.00')"
27,"('GAYAPROJ', '29.70')"
28,"('GINNIFILA', '27.80')"
29,"('GMRINFRA', '26.30')"
30,"('GODHA', '39.50')"
31,"('GOKUL', '27.55')"
32,"('GOKULAGRO', '28.75')"
33,"('GSCLCEMENT', '39.40')"
34,"('HBLPOWER', '39.50')"
35,"('HINDNATGLS', '35.75')"
36,"('HMT', '28.00')"
37,"('IDBI', '37.90')"
38,"('INDTERRAIN', '32.25')"
39,"('INVENTURE', '32.55')"
40,"('KAMATHOTEL', '35.30')"
41,"('KHAICHEM', '34.80')"
42,"('MADRASFERT', '29.55')"
43,"('MALUPAPER', '28.25')"
44,"('MARALOVER', '38.80')"
45,"('MASKINVEST', '27.30')"
46,"('MUKTAARTS', '32.80')"
47,"('NECLIFE', '30.20')"
48,"('NETWORK18', '39.90')"
49,"('NHPC', '26.00')"
50,"('ORIENTHOT', '27.80')"
51,"('ORIENTPPR', '26.95')"
52,"('ORTINLAB', '29.65')"
53,"('PATINTLOG', '29.35')"
54,"('PNB', '36.50')"
55,"('PRAXIS', '37.50')"
56,"('RAJTV', '34.65')"
57,"('RSSOFTWARE', '29.00')"
58,"('RVNL', '29.65')"
59,"('SARLAPOLY', '35.75')"
60,"('SIGIND', '37.90')"
61,"('SIMPLEXINF', '31.45')"
62,"('SJVN', '27.00')"
63,"('SOUTHWEST', '37.50')"
64,"('SPLIL', '39.65')"
65,"('SRPL', '31.00')"
66,"('STEELCITY', '39.45')"
67,"('SUPREMEENG', '26.55')"
68,"('TARC', '27.90')"
69,"('TEXMOPIPES', '30.65')"
70,"('TEXRAIL', '28.50')"
71,"('TIRUPATIFL', '27.00')"
72,"('TREJHARA', '38.95')"
73,"('TV18BRDCST', '36.95')"
74,"('UGARSUGAR', '32.80')"
75,"('UJJIVANSFB', '29.55')"
76,"('UNIONBANK', '36.85')"
77,"('VAISHALI', '37.80')"
78,"('VIPULLTD', '29.25')"
79,"('VIVIMEDLAB', '29.25')"
80,"('WINDMACHIN', '33.55')"
81,"('ZODJRDMKJ', '27.25')"
