,symbol,price,change,pchange
0,CORALFINAC,28.75,2.55,9
1,DAMODARIND,31.00,0.95,3
2,DCW,39.80,2.75,7
3,ELGIRUBCO,37.90,2.45,6
4,FLEXITUFF,27.20,1.05,4
5,GINNIFILA,31.30,3.75,13
6,INDTERRAIN,32.25,1.50,4
7,KHAICHEM,34.50,1.20,3
8,MALUPAPER,28.80,1.80,6
9,MUKTAARTS,35.40,1.95,5
10,NECLIFE,30.35,2.25,8
11,NETWORK18,41.25,1.80,4
12,ORIENTHOT,29.40,2.35,8
13,PATINTLOG,29.35,2.65,9
14,SARLAPOLY,37.00,2.75,8
15,SOUTHWEST,37.95,1.25,3
16,SPLIL,41.50,1.95,4
17,TARC,27.60,1.00,3
18,TEXMOPIPES,36.50,6.05,19
19,TREJHARA,39.50,3.15,8
20,TV18BRDCST,40.60,4.05,11
21,VIPULLTD,29.25,1.35,4
