,symbol,price,change,pchange
0,BAGFILMS,2.80,0.10,3
1,BALLARPUR,1.20,0.05,4
2,BARTRONICS,2.80,0.10,3
3,BURNPUR,3.20,0.15,4
4,DNAMEDIA,1.65,0.05,3
5,EASTSILK,2.95,0.10,3
6,EASUNREYRL,2.60,0.10,4
7,GISOLUTION,2.60,0.10,4
8,HDIL,5.05,0.20,4
9,INFOMEDIA,4.00,0.15,3
10,JYOTISTRUC,4.90,0.15,3
11,MAGNUM,5.05,0.20,4
12,MERCATOR,1.30,0.05,4
13,ORTEL,1.05,0.05,5
14,RADAAN,1.10,0.05,4
15,ROHITFERRO,2.60,0.10,4
16,RTNPOWER,3.15,0.10,3
17,SHRENIK,2.30,0.10,4
18,SKIL,2.75,0.10,3
19,SUNDARAM,1.45,0.05,3
20,TARAPUR,5.00,0.20,4
21,TECHIN,5.10,0.20,4
22,TFL,3.00,0.10,3
23,UMESLTD,3.25,0.15,4
24,VICEROY,2.85,0.10,3
25,VIKASECO,2.35,0.10,4
26,VIKASLIFE,3.15,0.15,5
